Task ID,Title,Description,Status
bff57de8-7566-445c-8c62-d8fdc296d8c9,Build API,RESTful endpoints,todo
9642a831-a159-4233-a2a4-2e4419c177dd,Implement login,"Google, Apple ID & Email login",in_progress
6610e7ea-ebc5-4a8d-bf16-744c1e1fe586,Design database,Initial schema,todo
a8331084-085e-4527-9ef9-2e4761d33243,Build API,RESTful endpoints,todo
abac7f3d-9e15-4ae5-a9a5-8876b74d5503,Implement login,"Google, Apple ID & Email login",in_progress
b3b5dd4a-4535-4465-9ba5-cb446bde3bc4,Design database,Initial schema,todo
c6e59553-e170-41d2-9f85-094d236f1d1a,Build API,RESTful endpoints,todo
24d9fee6-f228-48ff-a892-34e4e89d9b5a,Implement login,"Google, Apple ID & Email login",in_progress
8d440335-fe7b-4886-b9e4-e9ce9d812943,Design database,Initial schema,todo
4ea9352f-9f0d-453e-9482-f75e2d07a90e,Build API,RESTful endpoints,todo
d931f6e3-2db5-4bc8-92df-ad2c888f68b6,Implement login,"Google, Apple ID & Email login",in_progress
9d1cba96-6367-4e38-9d0b-6f3baf7269b5,Design database,Initial schema,todo
